timestamp,RandomForest,GradientBoosting,LightGBM,Ensemble_Prediction
2025-11-02 23:00:00+00:00,34.03,34.62,34.93,34.53
2025-11-03 00:00:00+00:00,33.42,33.46,34.01,33.63
2025-11-03 01:00:00+00:00,34.06,32.44,33.33,33.28
2025-11-03 02:00:00+00:00,33.89,32.63,33.26,33.26
2025-11-03 03:00:00+00:00,34.3,32.63,33.26,33.4
2025-11-03 04:00:00+00:00,34.57,32.89,33.68,33.71
2025-11-03 05:00:00+00:00,35.11,33.86,34.65,34.54
2025-11-03 06:00:00+00:00,38.46,37.33,38.41,38.07
2025-11-03 07:00:00+00:00,40.5,39.01,39.55,39.69
2025-11-03 08:00:00+00:00,40.94,38.43,37.79,39.05
2025-11-03 09:00:00+00:00,40.72,36.3,36.44,37.82
2025-11-03 10:00:00+00:00,40.42,36.15,36.5,37.69
2025-11-03 11:00:00+00:00,40.4,36.04,36.69,37.71
2025-11-03 12:00:00+00:00,40.35,35.64,36.7,37.56
2025-11-03 13:00:00+00:00,40.44,35.6,37.77,37.94
2025-11-03 14:00:00+00:00,40.33,35.6,37.86,37.93
2025-11-03 15:00:00+00:00,40.49,35.65,37.86,38.0
2025-11-03 16:00:00+00:00,40.85,37.06,38.91,38.94
2025-11-03 17:00:00+00:00,41.2,36.54,39.47,39.07
2025-11-03 18:00:00+00:00,39.38,36.3,39.34,38.34
2025-11-03 19:00:00+00:00,36.03,33.61,36.76,35.47
2025-11-03 20:00:00+00:00,33.46,32.52,35.12,33.7
2025-11-03 21:00:00+00:00,33.31,32.78,35.41,33.83
2025-11-03 22:00:00+00:00,33.92,32.88,35.42,34.07
2025-11-03 23:00:00+00:00,33.9,32.88,34.95,33.91
2025-11-04 00:00:00+00:00,33.62,32.35,33.96,33.31
2025-11-04 01:00:00+00:00,33.73,31.83,33.26,32.94
2025-11-04 02:00:00+00:00,33.74,31.97,33.17,32.96
2025-11-04 03:00:00+00:00,33.78,31.97,33.17,32.97
2025-11-04 04:00:00+00:00,33.92,32.24,33.59,33.25
2025-11-04 05:00:00+00:00,34.34,33.34,34.58,34.09
2025-11-04 06:00:00+00:00,37.43,37.33,38.42,37.73
2025-11-04 07:00:00+00:00,38.99,39.11,39.52,39.21
2025-11-04 08:00:00+00:00,40.1,38.43,37.88,38.8
2025-11-04 09:00:00+00:00,40.15,36.3,36.6,37.68
2025-11-04 10:00:00+00:00,40.0,36.15,36.66,37.6
2025-11-04 11:00:00+00:00,39.95,36.04,36.85,37.61
2025-11-04 12:00:00+00:00,39.89,35.64,36.86,37.46
2025-11-04 13:00:00+00:00,39.85,35.6,37.83,37.76
2025-11-04 14:00:00+00:00,39.85,35.6,38.05,37.83
2025-11-04 15:00:00+00:00,39.92,35.65,38.39,37.99
2025-11-04 16:00:00+00:00,40.03,37.06,39.29,38.79
2025-11-04 17:00:00+00:00,40.22,36.54,39.47,38.74
2025-11-04 18:00:00+00:00,38.98,36.3,39.34,38.21
2025-11-04 19:00:00+00:00,36.08,33.61,36.76,35.48
2025-11-04 20:00:00+00:00,33.4,32.52,35.12,33.68
2025-11-04 21:00:00+00:00,33.26,32.78,35.41,33.82
2025-11-04 22:00:00+00:00,33.89,32.88,35.42,34.06
2025-11-04 23:00:00+00:00,34.08,32.88,34.95,33.97
2025-11-05 00:00:00+00:00,33.73,32.35,34.0,33.36
2025-11-05 01:00:00+00:00,33.74,31.83,33.3,32.96
2025-11-05 02:00:00+00:00,33.82,31.97,33.21,33.0
2025-11-05 03:00:00+00:00,33.75,31.97,33.21,32.98
2025-11-05 04:00:00+00:00,33.9,32.24,33.63,33.26
2025-11-05 05:00:00+00:00,34.34,33.34,34.62,34.1
2025-11-05 06:00:00+00:00,37.58,37.33,38.47,37.79
2025-11-05 07:00:00+00:00,39.34,39.11,39.56,39.34
2025-11-05 08:00:00+00:00,40.13,38.43,37.88,38.81
2025-11-05 09:00:00+00:00,40.13,36.3,36.54,37.66
2025-11-05 10:00:00+00:00,40.03,36.15,36.6,37.59
2025-11-05 11:00:00+00:00,39.97,36.04,36.79,37.6
2025-11-05 12:00:00+00:00,39.89,35.64,36.81,37.45
2025-11-05 13:00:00+00:00,39.92,35.6,37.77,37.76
2025-11-05 14:00:00+00:00,39.93,35.6,37.86,37.8
2025-11-05 15:00:00+00:00,40.03,35.65,37.87,37.85
2025-11-05 16:00:00+00:00,40.24,37.06,39.02,38.77
2025-11-05 17:00:00+00:00,40.39,36.54,39.51,38.81
2025-11-05 18:00:00+00:00,39.17,36.3,39.38,38.28
2025-11-05 19:00:00+00:00,36.02,33.61,36.8,35.48
2025-11-05 20:00:00+00:00,33.41,32.52,35.17,33.7
2025-11-05 21:00:00+00:00,33.34,32.78,35.54,33.89
2025-11-05 22:00:00+00:00,34.02,32.88,35.56,34.15
